,,,Communication History Report,,,,,,,
,,,5/29/18 10:28 AM,,,,,,,
"* Maximum 50,000 records",,,,,,,,,,
Date Time From,,,Date Time To,,,,,,,
Duration From,,,Duration To,,,,,,,
Calling Number,,,,,,,,,,
Category,,,,,,,,,,
ResourceAOR,,,,,,,,,,
User,,,,,,,,,,
Call Type,,,,,,,,,,
Call Usage,,,,,,,,,,
Destination,,,,,,,,,,
Priority,,,,,,,,,,
History,Full,,,,,,,,,
Date/Time,User,Call Type,EventType,From,To,Duration,RingTime,PTT Duration,ConnectionID,AnsweringPartyName
Enterprise Call Id,,,,,,,,,,
25/05/2018 18:11:03,pperez,resource,Received,3174403051,3174403051,00:00:02,3,0,Conn_409_192.168.33.164_1527289862966,NULL
Enterprise Call Id,Call_228_192.168.33.164_1527289768979,,,,,,,,,
25/05/2018 18:09:33,pperez,resource,Received,3193554385,3193554385,00:00:13,4,0,Conn_407_192.168.33.164_1527289773361,NULL
Enterprise Call Id,Call_227_192.168.33.164_1527289340261,,,,,,,,,
25/05/2018 18:02:25,pperez,resource,Received,3174403051,3174403051,00:00:09,4,0,Conn_405_192.168.33.164_1527289344597,NULL
Enterprise Call Id,,,,,,,,,,
25/05/2018 17:57:16,pperez,resource,Missed,3174403051,3174403051,00:00:00,8,0,,NULL
Enterprise Call Id,Call_225_192.168.33.164_1527288938054,,,,,,,,,
25/05/2018 17:55:46,pperez,resource,Received,3174403051,3174403051,00:00:04,7,0,Conn_402_192.168.33.164_1527288945674,NULL
Enterprise Call Id,Call_224_192.168.33.164_1527288884069,,,,,,,,,
25/05/2018 17:54:52,pperez,resource,Received,3174403051,3174403051,00:00:06,8,0,Conn_400_192.168.33.164_1527288892426,NULL
Enterprise Call Id,,,,,,,,,,
25/05/2018 17:53:42,pperez,resource,Missed,80,1450,00:00:00,22,0,,NULL
25/05/2018 17:52:28,pperez,resource,Missed,3174403051,1450,00:00:00,7,0,,NULL
Enterprise Call Id,Call_219_192.168.33.164_1527288720034,,,,,,,,,
25/05/2018 17:52:02,pperez,record,Received,NiceCssDaSipRecorder,1450,00:47:15,2,0,Conn_392_192.168.33.164_1527288720034,NULL
Enterprise Call Id,Call_220_192.168.33.164_1527288720041,,,,,,,,,
25/05/2018 17:52:02,pperez,record,Received,NiceCssDaSipRecorder,1450,00:47:15,2,0,Conn_395_192.168.33.164_1527288720040,NULL
Enterprise Call Id,Call_221_192.168.33.164_1527288720044,,,,,,,,,
25/05/2018 17:52:02,pperez,record,Received,NiceCssDaSipRecorder,1450,00:47:15,2,0,Conn_396_192.168.33.164_1527288720044,NULL
Enterprise Call Id,Call_218_192.168.33.164_1527288693080,,,,,,,,,
25/05/2018 17:51:35,pperez,resource,Received,3174403051,1450,00:00:02,2,0,Conn_390_192.168.33.164_1527288695457,NULL
Enterprise Call Id,Call_217_192.168.33.164_1527288522937,,,,,,,,,
25/05/2018 17:48:50,pperez,resource,Received,3174403051,1450,00:00:01,7,0,Conn_388_192.168.33.164_1527288530438,NULL
Enterprise Call Id,Call_216_192.168.33.164_1527287979897,,,,,,,,,
25/05/2018 17:39:45,pperez,resource,Received,3174403051,1450,00:00:05,4,0,Conn_386_192.168.33.164_1527287984486,NULL
Enterprise Call Id,,,,,,,,,,
25/05/2018 17:34:06,pperez,resource,Missed,3174403051,1450,00:00:00,7,0,,NULL
Enterprise Call Id,Call_212_192.168.33.164_1527287558573,,,,,,,,,
25/05/2018 17:32:41,pperez,record,Received,NiceCssDaSipRecorder,1450,00:19:10,2,0,Conn_380_192.168.33.164_1527287558573,NULL
Enterprise Call Id,Call_213_192.168.33.164_1527287558578,,,,,,,,,
25/05/2018 17:32:41,pperez,record,Received,NiceCssDaSipRecorder,1450,00:19:10,2,0,Conn_381_192.168.33.164_1527287558578,NULL
Enterprise Call Id,Call_214_192.168.33.164_1527287558584,,,,,,,,,
